what,kind,bundleId,bundleVersion,description,time
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.preferences"".",1335868114312
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.preferences"".",1335868114315
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.preferences"".",1335868114319
started,bundle,org.eclipse.jst.ws.jaxws.dom.integration,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.integration",1335868114515
started,bundle,org.eclipse.jst.ws.jaxws.dom.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.ui",1335868114523
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1335868118151
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.preferences"".",1335868139782
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.preferences"".",1335868139785
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.preferences"".",1335868139787
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.preferences"".",1335868139799
error,log,,,"Failed to load properties file for project 'CurioCity-Android'",1335868140789
error,log,,,"Internal Error",1335868140883
error,log,,,"Failed to load properties file for project 'CurioCity-Android'",1335868141048
error,log,,,"Failed to finish PrecompilerBuilder#startupOnInitialize()",1335868141054
error,log,,,"Failed to load properties file for project 'CurioCity-Android'",1335868141056
error,log,,,"Failed to load properties file for project 'CurioCity-Android'",1335868141549
error,log,,,"Failed to load properties file for project 'CurioCity-Android'",1335868145448
error,log,,,"Failed to load properties file for project 'CurioCity-Android'",1335868145451
error,log,,,"Internal Error",1335868150773
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1335868161419
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.newWizard",1335868161458
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1335868168592
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1335868193859
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1335868195362
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1335868201980
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.navigate.openResource",1335868201990
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1335868206687
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1335868212130
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.properties",1335868212140
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1335868219606
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1335868220603
started,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1335868220876
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1335868221039
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1335868221469
started,bundle,org.eclipse.pde.launching,3.6.0.v20100601,"org.eclipse.pde.launching",1335868226060
started,bundle,org.eclipse.ui.views.log,1.0.100.v20110210_r362,"org.eclipse.ui.views.log",1335868226063
started,bundle,org.eclipse.pde.ui,3.6.1.v20110210_r362,"org.eclipse.pde.ui",1335868226076
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1335868226419
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1335868249029
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1335868405388
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1335868407968
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1335868412292
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1335868414265
started,bundle,org.eclipse.wst.jsdt.ui,1.1.7.v201109150205,"org.eclipse.wst.jsdt.ui",1335868414431
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.preferences"".",1335868414625
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.preferences"".",1335868414627
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.preferences"".",1335868414628
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.preferences"".",1335868414630
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.preferences"".",1335868414632
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.preferences"".",1335868414634
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.preferences"".",1335868414637
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.preferences"".",1335868414638
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.preferences"".",1335868414641
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1335868414985
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1335868415101
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1335868415113
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1335868415113
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1335868424875
error,log,,,"Internal Error",1335868461721
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1335868470866
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.newWizard",1335868470902
no handler,command,org.eclipse.datatools.sqltools.result.ui,,"org.eclipse.datatools.sqltools.result.removeAllInstances",1335868474417
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1335868479234
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.preferences"".",1335868480573
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.preferences"".",1335868480576
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.preferences"".",1335868480579
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.preferences"".",1335868480582
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.preferences"".",1335868480585
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.preferences"".",1335868480589
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.preferences"".",1335868480595
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.preferences"".",1335868480598
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.preferences"".",1335868480601
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1335868480818
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1335868480824
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1335868480824
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1335868483360
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1335868498487
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1335868503476
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.preferences"".",1335868531212
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.preferences"".",1335868531215
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.preferences"".",1335868531217
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.preferences"".",1335868531227
error,log,,,"Internal Error",1335868532268
error,log,,,"Failed to load properties file for project 'CurioCity-Android'",1335868532403
error,log,,,"Failed to load properties file for project 'CurioCity-Android'",1335868532691
error,log,,,"Failed to finish PrecompilerBuilder#startupOnInitialize()",1335868532734
error,log,,,"Failed to load properties file for project 'CurioCity-Android'",1335868532753
error,log,,,"Failed to load properties file for project 'CurioCity-Android'",1335868533042
error,log,,,"Failed to load properties file for project 'CurioCity-Android'",1335868535747
error,log,,,"Failed to load properties file for project 'CurioCity-Android'",1335868535750
error,log,,,"Internal Error",1335868578145
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1335868582297
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.newWizard",1335868582323
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1335868583732
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1335868591475
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.refresh",1335868594259
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1335868594531
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1335868596311
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1335868596392
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1335868597056
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.preferences"".",1335868597079
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.preferences"".",1335868597083
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.preferences"".",1335868597085
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.preferences"".",1335868597088
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.preferences"".",1335868597091
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.preferences"".",1335868597095
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.preferences"".",1335868597097
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.preferences"".",1335868597100
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.preferences"".",1335868597102
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1335868602004
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.preferences"".",1335868624617
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.preferences"".",1335868624620
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.preferences"".",1335868624626
